round,avgFit,bestFit,avgNode,bestNode,bestBotName
0,0.04491695496654087,0.34394250513347024,578.2333333333333,761,sampleex.X_GPbot_0_10
1,0.11691349414809214,0.4721324717285945,641.3333333333334,761,sampleex.X_GPbot_1_0
2,0.24303137272690772,0.5126796280642435,693.4666666666667,730,sampleex.X_GPbot_2_17
3,0.217080991617367,562,728.8666666666667,759,sampleex.X_GPbot_3_7
4,0.3382720678513994,0.7548964745383324,712.2333333333333,609,sampleex.X_GPbot_4_22
5,0.39651388966674833,0.7904118008604795,644.7,599,sampleex.X_GPbot_5_5
6,0.5163730651074963,0.8038331454340474,577.4666666666667,603,sampleex.X_GPbot_6_14
7,0.5794569523354421,0.8272357723577236,590.6333333333333,543,sampleex.X_GPbot_7_7
8,0.6009966780065855,0.7922077922077922,583.0,601,sampleex.X_GPbot_8_12
9,0.5958616601387263,0.804432132963989,569.7333333333333,543,sampleex.X_GPbot_9_1
10,0.5732630402964787,0.8839830906528887,553.1333333333333,547,sampleex.X_GPbot_10_14
11,0.593839529212602,0.8865570051049347,528.8666666666667,545,sampleex.X_GPbot_11_22
12,0.6256673744286546,0.8576195773081201,552.0,430,sampleex.X_GPbot_12_16
13,0.647120285017526,0.8674869853289162,522.6,564,sampleex.X_GPbot_13_9
14,0.5436045575129037,0.8863761720904578,526.7,572,sampleex.X_GPbot_14_8
15,0.5948278711737843,0.853726362625139,555.3333333333334,572,sampleex.X_GPbot_15_25
16,0.7142077404759941,0.8817494600431965,555.0666666666667,567,sampleex.X_GPbot_16_13
17,0.6163135366345788,0.8398936170212766,568.9,517,sampleex.X_GPbot_17_2
18,0.6501930301277176,0.8774097874443895,568.2,627,sampleex.X_GPbot_18_16
19,0.6777040991298104,0.88852637302882,553.1,517,sampleex.X_GPbot_19_7
20,0.6601568328575766,0.9159622078567876,548.9,583,sampleex.X_GPbot_20_5
21,0.6671620229596426,0.9135265700483092,585.1,627,sampleex.X_GPbot_21_28
22,0.49792679863553013,0.8555304740406321,574.6666666666666,627,sampleex.X_GPbot_22_0
23,0.5583405606152196,0.8509110988404197,566.3333333333334,583,sampleex.X_GPbot_23_1
24,0.6133734466552352,0.8701492537313433,567.5,543,sampleex.X_GPbot_24_16
25,0.6047133316747322,0.8161512027491409,530.3666666666667,487,sampleex.X_GPbot_25_6
26,0.6409718161651284,0.856824512534819,523.7666666666667,503,sampleex.X_GPbot_26_4
27,0.6261184649192876,0.8279240661359462,528.9666666666667,499,sampleex.X_GPbot_27_18
28,0.6225748430928182,0.9198161389172625,513.2,623,sampleex.X_GPbot_28_2
29,0.6188917270839589,0.8783715012722646,536.7666666666667,633,sampleex.X_GPbot_29_27
30,0.6485013705929393,0.9255996084189917,563.0,633,sampleex.X_GPbot_30_10
31,0.7036237386417274,0.8446196660482375,596.5666666666667,471,sampleex.X_GPbot_31_23
32,0.7131768228724226,0.8971061093247589,577.3,597,sampleex.X_GPbot_32_20
33,0.6600124578410601,0.8635912698412699,570.0333333333333,471,sampleex.X_GPbot_33_19
34,0.6442301134535401,0.8283313325330132,559.7,534,sampleex.X_GPbot_34_13
35,0.507854152994222,0.876169510181618,547.2,573,sampleex.X_GPbot_35_15
36,0.704552437317993,0.8694376528117359,563.8666666666667,573,sampleex.X_GPbot_36_0
37,0.6933589575983726,0.8832515002727769,575.9666666666667,646,sampleex.X_GPbot_37_3
38,0.7591760736768934,0.9106796116504854,583.8666666666667,572,sampleex.X_GPbot_38_12
39,0.6544031706550928,0.8716791979949875,576.6666666666666,563,sampleex.X_GPbot_39_18
40,0.6820972816654494,0.8989583333333333,583.6666666666666,563,sampleex.X_GPbot_40_0
41,0.5885234362532468,0.8420204191295003,577.3333333333334,609,sampleex.X_GPbot_41_5
42,0.6983102255706904,0.9512317747611865,569.4666666666667,586,sampleex.X_GPbot_42_24
43,0.7118497065402168,0.89587852494577,575.9333333333333,559,sampleex.X_GPbot_43_6
44,0.6927899589729614,0.9141193595342066,568.8333333333334,586,sampleex.X_GPbot_44_10
45,0.6672898091090006,0.909697280656747,579.7666666666667,645,sampleex.X_GPbot_45_17
46,0.5651828937958213,0.9024390243902439,576.1,490,sampleex.X_GPbot_46_12
47,0.6721621480547928,0.9101796407185628,537.1333333333333,500,sampleex.X_GPbot_47_26
48,0.6976573573603297,0.9238716693855357,527.0333333333333,494,sampleex.X_GPbot_48_10
49,0.6678857289681425,0.9234088457389428,509.23333333333335,496,sampleex.X_GPbot_49_25
50,0.7313298528751815,0.8789473684210526,504.1,541,sampleex.X_GPbot_50_23
51,0.6285397978676369,0.877088948787062,495.9,586,sampleex.X_GPbot_51_1
52,0.7209138685114668,0.855595667870036,527.6666666666666,464,sampleex.X_GPbot_52_19
53,0.74243879880713,0.926063829787234,527.4333333333333,464,sampleex.X_GPbot_53_2
54,0.6874298948707477,0.9340425531914893,505.1333333333333,464,sampleex.X_GPbot_54_25
55,0.6658883392821988,0.8785249457700651,504.4,586,sampleex.X_GPbot_55_1
56,0.659637650157486,0.865414710485133,557.0,589,sampleex.X_GPbot_56_14
57,0.6560767691327267,0.9154858299595142,553.4333333333333,514,sampleex.X_GPbot_57_22
58,0.6673886028312599,0.9013953488372093,538.9333333333333,511,sampleex.X_GPbot_58_2
59,0.7901881452607161,0.9387651821862348,541.7,526,sampleex.X_GPbot_59_25
60,0.688848885748096,0.9230769230769231,554.5333333333333,533,sampleex.X_GPbot_60_12
61,0.7082472637506019,0.8833333333333333,540.1333333333333,616,sampleex.X_GPbot_61_22
62,0.6569224162903137,0.9248279512969825,559.8,618,sampleex.X_GPbot_62_11
63,0.6907474255813804,0.9134050880626223,573.8666666666667,512,sampleex.X_GPbot_63_27
64,0.6408203170155249,0.9139034322280396,553.3333333333334,624,sampleex.X_GPbot_64_18
65,0.6627286032285459,0.8887795275590551,582.1,542,sampleex.X_GPbot_65_13
66,0.5396210903392892,0.8575531303848363,552.2,568,sampleex.X_GPbot_66_14
67,0.6841093478624198,0.89404296875,556.3,568,sampleex.X_GPbot_67_24
68,0.7248760640352131,936,546.5333333333333,497,sampleex.X_GPbot_68_24
69,0.6412378744473973,0.9288638689866939,546.4,592,sampleex.X_GPbot_69_28
70,0.6639430857141294,0.9333333333333333,548.3333333333334,574,sampleex.X_GPbot_70_24
71,0.6787422622184678,0.9118721461187215,544.7333333333333,574,sampleex.X_GPbot_71_20
72,0.663577046881361,0.8815347721822542,549.9333333333333,610,sampleex.X_GPbot_72_16
73,0.6730308827559243,0.9307086614173228,544.4666666666667,504,sampleex.X_GPbot_73_16
74,0.6680108531911283,0.8564954682779456,559.2,570,sampleex.X_GPbot_74_9
75,0.7002419725914841,0.9164569703069955,532.2333333333333,613,sampleex.X_GPbot_75_6
76,0.6168225319976668,0.9424,528.9666666666667,613,sampleex.X_GPbot_76_0
77,0.7058490173893065,0.8833671399594321,559.4666666666667,480,sampleex.X_GPbot_77_26
78,0.6389723651350193,0.8959627329192547,515.8,584,sampleex.X_GPbot_78_9
79,0.6801354865144766,0.886339937434828,516.7666666666667,586,sampleex.X_GPbot_79_1
80,0.7200061575610437,0.8884892086330936,527.3333333333334,491,sampleex.X_GPbot_80_3
81,0.6851069270217849,0.9274891774891775,531.4666666666667,586,sampleex.X_GPbot_81_1
82,0.6990668863893137,0.9007717750826902,544.3666666666667,529,sampleex.X_GPbot_82_23
83,0.6939539609439456,0.9203980099502488,555.2333333333333,563,sampleex.X_GPbot_83_24
84,0.6802763520679865,0.8900308324768756,570.6,586,sampleex.X_GPbot_84_1
85,0.7105478055293062,925,547.2333333333333,497,sampleex.X_GPbot_85_29
86,0.6785271260456714,0.933644375324002,551.6666666666666,586,sampleex.X_GPbot_86_22
87,0.6921418787050844,0.8973151201130476,527.4333333333333,554,sampleex.X_GPbot_87_20
88,0.6847338466603567,0.9269135802469136,514.5333333333333,578,sampleex.X_GPbot_88_2
89,0.6794706875683817,0.8985915492957747,517.7666666666667,529,sampleex.X_GPbot_89_28
90,0.7246708584288015,0.87915078933043,536.2666666666667,496,sampleex.X_GPbot_90_28
91,0.6385167474266003,0.9033790918690602,531.6333333333333,586,sampleex.X_GPbot_91_2
92,0.6976170697207185,0.8755060728744939,548.8333333333334,550,sampleex.X_GPbot_92_15
93,0.6836337324770814,0.9411151641479938,547.0666666666667,572,sampleex.X_GPbot_93_21
94,0.7140066250725876,0.9276745354093421,561.9,582,sampleex.X_GPbot_94_19
95,0.6435345172531198,0.8751387347391787,570.6,585,sampleex.X_GPbot_95_12
96,0.6780920597941245,0.9303955933900852,565.4333333333333,539,sampleex.X_GPbot_96_7
97,0.6929484669077688,0.8862859931673988,570.4666666666667,555,sampleex.X_GPbot_97_12
98,0.7219443651329551,0.9343252950230888,566.8,589,sampleex.X_GPbot_98_4
99,0.6400436520255822,0.8795056642636457,556.3666666666667,495,sampleex.X_GPbot_99_19
100,0.5609114039278331,0.9240812379110251,538.0,552,sampleex.X_GPbot_100_24
101,0.6611571479080759,0.9019323671497584,530.3666666666667,552,sampleex.X_GPbot_101_0
102,0.739362926924324,0.9058587881822734,539.4333333333333,624,sampleex.X_GPbot_102_19
103,0.6967344416007734,0.8962131837307152,546.8666666666667,498,sampleex.X_GPbot_103_15
104,0.6362444206714543,0.8895257946847316,563.8,613,sampleex.X_GPbot_104_14
105,0.7373365869854729,0.8737967914438503,576.6,525,sampleex.X_GPbot_105_26
106,0.6703446182260188,0.8592007434944238,558.5333333333333,480,sampleex.X_GPbot_106_13
107,0.7594691623975428,0.9082150101419878,547.5666666666667,618,sampleex.X_GPbot_107_2
108,0.619472937030398,0.9250382457929628,568.4,573,sampleex.X_GPbot_108_6
109,0.6642369744151796,0.9301825993555317,582.2333333333333,449,sampleex.X_GPbot_109_27
110,0.6936744958936725,0.8785282258064516,549.1666666666666,449,sampleex.X_GPbot_110_14
111,0.644490875150184,0.8813735691987513,504.5,421,sampleex.X_GPbot_111_23
112,0.6817000676392209,0.9267326732673268,508.03333333333336,417,sampleex.X_GPbot_112_20
113,0.6985701353261994,0.9357106981416373,451.6,539,sampleex.X_GPbot_113_25
114,0.6319241455079877,0.8872970391595033,475.56666666666666,364,sampleex.X_GPbot_114_4
115,0.7373720173019692,0.9338196977592496,458.3333333333333,542,sampleex.X_GPbot_115_2
116,0.6984097519684231,0.8890675241157556,491.1,534,sampleex.X_GPbot_116_16
117,0.6824144043927309,0.8638449770525243,469.1666666666667,542,sampleex.X_GPbot_117_27
118,0.7136995709788442,0.9290853031860226,473.73333333333335,542,sampleex.X_GPbot_118_15
119,0.6748062135159905,0.9195046439628483,500.6333333333333,360,sampleex.X_GPbot_119_17
120,0.7393025213007273,0.9357390014829461,459.43333333333334,553,sampleex.X_GPbot_120_21
121,0.6965881895037976,0.8999028182701652,502.7,511,sampleex.X_GPbot_121_24
122,0.56569647610054,0.8856825749167592,470.8333333333333,350,sampleex.X_GPbot_122_24
123,0.7561122298187052,0.885483870967742,432.7,503,sampleex.X_GPbot_123_17
124,0.5759498463059741,0.9057017543859649,406.76666666666665,504,sampleex.X_GPbot_124_10
125,0.6715656205035683,0.8993325917686318,410.6333333333333,388,sampleex.X_GPbot_125_25
126,0.6702082891956648,0.8887688984881209,428.96666666666664,402,sampleex.X_GPbot_126_8
127,0.6941040000989374,0.8732963149924281,406.8,586,sampleex.X_GPbot_127_1
128,0.6981774200654194,0.8717683557394003,462.0,556,sampleex.X_GPbot_128_20
129,0.6917710041445257,0.9250493096646942,509.76666666666665,586,sampleex.X_GPbot_129_2
130,0.6896143576706464,0.8862533692722372,468.1666666666667,568,sampleex.X_GPbot_130_24
131,0.6469029644431079,0.9274447949526814,463.8333333333333,354,sampleex.X_GPbot_131_24
132,0.6382820980975397,0.8801261829652997,452.8333333333333,338,sampleex.X_GPbot_132_10
133,0.6409700328812603,0.865929841422393,434.6666666666667,550,sampleex.X_GPbot_133_29
134,0.7252591765889925,0.8909952606635071,475.96666666666664,526,sampleex.X_GPbot_134_9
135,0.7394041341147302,0.8884381338742393,458.23333333333335,565,sampleex.X_GPbot_135_28
136,0.6507479626663647,0.9497178040020523,478.0,443,sampleex.X_GPbot_136_17
137,0.6575895558506606,0.8768909754825248,449.73333333333335,564,sampleex.X_GPbot_137_27
138,0.6571038283457117,0.919756221432199,456.3666666666667,545,sampleex.X_GPbot_138_22
139,0.6798408005972082,0.8724324324324324,463.03333333333336,586,sampleex.X_GPbot_139_1
140,0.549886233642999,0.9360086767895879,517.5,635,sampleex.X_GPbot_140_5
141,0.7353270635106791,0.9170284611673902,543.4666666666667,561,sampleex.X_GPbot_141_24
142,0.6326168095146509,0.9038365719980069,572.3666666666667,561,sampleex.X_GPbot_142_0
143,0.6851417106430556,0.8771384136858476,552.7,549,sampleex.X_GPbot_143_4
144,0.6982837043422856,0.8946212952799122,547.6666666666666,545,sampleex.X_GPbot_144_26
145,0.6882614418547388,0.9266832917705735,603.6333333333333,545,sampleex.X_GPbot_145_10
146,0.6702782705206284,0.8839239856189008,589.3333333333334,670,sampleex.X_GPbot_146_24
147,0.6867932119784432,0.8871873404798366,594.1333333333333,568,sampleex.X_GPbot_147_16
