round,avgFit,bestFist,avgNode,bestNode,bestBotName
0,0.02388959471183715,0.2587118883161495,541.8,622,sampleex.X_GPbot_0_13
1,0.10187729686882925,0.34067891165715863,513.1666666666666,693,sampleex.X_GPbot_1_25
2,0.23652326550213515,0.5083627759091763,617.7666666666667,693,sampleex.X_GPbot_2_25
3,0.2962055691702761,0.4758946085016036,645.0666666666667,664,sampleex.X_GPbot_3_13
4,0.31635548219325244,0.4790053851729661,624.7333333333333,695,sampleex.X_GPbot_4_12
5,0.3237868249817491,0.4752229509211207,631.6333333333333,695,sampleex.X_GPbot_5_0
6,0.3460227274560682,0.524434344693628,630.0666666666667,538,sampleex.X_GPbot_6_2
7,0.354464433875097,0.5621824846568595,623.9333333333333,538,sampleex.X_GPbot_7_0
8,0.3367149788228961,0.5590426422002253,609.3666666666667,538,sampleex.X_GPbot_8_1
9,0.34650413795910934,0.5094681929492805,595.7666666666667,593,sampleex.X_GPbot_9_28
10,0.39727593611542983,0.5586349496048314,592.0666666666667,522,sampleex.X_GPbot_10_24
11,0.33963143375841925,0.5411131619922381,570.6666666666666,513,sampleex.X_GPbot_11_7
12,0.3695037576808843,0.5535157786335415,568.7333333333333,439,sampleex.X_GPbot_12_29
13,0.4350043375345144,0.557722274584814,552.6,514,sampleex.X_GPbot_13_15
14,0.42991543167493884,0.5490083088759998,527.7333333333333,527,sampleex.X_GPbot_14_17
15,0.39021926227721904,0.5332911455714576,527.3,514,sampleex.X_GPbot_15_21
16,0.39280817640092597,0.6013388368935297,526.9666666666667,546,sampleex.X_GPbot_16_5
17,0.4009631498775359,0.6015992383460838,514.4333333333333,541,sampleex.X_GPbot_17_23
18,0.4776654912678968,0.6102933099757575,512.5666666666667,532,sampleex.X_GPbot_18_27
19,0.4424571581202422,0.5807118773650483,511.5,533,sampleex.X_GPbot_19_13
20,0.45875685344855693,0.6242608387983369,511.1666666666667,611,sampleex.X_GPbot_20_21
21,0.46035936443013814,0.5823279385741396,504.73333333333335,533,sampleex.X_GPbot_21_12
22,0.4879430131255835,0.6644615467746546,530.5333333333333,478,sampleex.X_GPbot_22_25
23,0.5166072938071433,0.6626477920529011,515.8,478,sampleex.X_GPbot_23_13
24,0.5013071635533494,0.6471306049676555,500.8,478,sampleex.X_GPbot_24_0
25,0.5192091579258394,0.7424394836866924,477.3333333333333,478,sampleex.X_GPbot_25_0
26,0.4935107505983754,0.6725512375441464,482.93333333333334,478,sampleex.X_GPbot_26_0
27,0.4958697718562324,0.7107325057638167,491.96666666666664,469,sampleex.X_GPbot_27_24
28,0.4799624845192401,0.6323432473984806,482.7,478,sampleex.X_GPbot_28_1
29,0.48719449962373573,0.656336788976814,484.6666666666667,551,sampleex.X_GPbot_29_7
30,0.4754939486346787,0.6905573609135379,475.56666666666666,551,sampleex.X_GPbot_30_0
31,0.49793734877299217,0.7960761983417318,473.53333333333336,519,sampleex.X_GPbot_31_8
32,0.5164608313953843,0.7807533997294392,479.43333333333334,519,sampleex.X_GPbot_32_1
33,0.5346141164445581,0.8174974058552186,462.3,519,sampleex.X_GPbot_33_0
34,0.5595076414894197,0.798478707418529,454.5,519,sampleex.X_GPbot_34_1
35,0.5499381711031671,0.8301452829419693,472.53333333333336,567,sampleex.X_GPbot_35_23
36,0.5364019859705592,0.7904704676320486,469.43333333333334,567,sampleex.X_GPbot_36_1
37,0.5803592303240753,0.8071054322730215,491.2,615,sampleex.X_GPbot_37_22
38,0.552441679395734,0.8274096938467544,498.1666666666667,514,sampleex.X_GPbot_38_3
39,0.5850987717060653,0.8002782189168837,519.4666666666667,616,sampleex.X_GPbot_39_27
40,0.6197182623939195,0.8153292256551,535.8,616,sampleex.X_GPbot_40_0
41,0.5698306736095574,0.803179978849557,509.6,503,sampleex.X_GPbot_41_17
42,0.6517354367798995,0.8419870094350891,498.5,503,sampleex.X_GPbot_42_21
43,0.6510166141566078,0.8203587351249254,521.1666666666666,614,sampleex.X_GPbot_43_13
44,0.677131700677959,0.8130140675539517,523.9,550,sampleex.X_GPbot_44_26
45,0.6801717858323149,0.8118421728958233,523.7,594,sampleex.X_GPbot_45_10
46,0.6104486006049388,0.8364202441404044,526.4333333333333,594,sampleex.X_GPbot_46_0
47,0.6699870712478,0.8147099645051311,526.2333333333333,594,sampleex.X_GPbot_47_0
48,0.6764557167288567,0.8095201425650544,516.6333333333333,558,sampleex.X_GPbot_48_18
49,0.6493074818089098,0.8405679352030231,504.06666666666666,505,sampleex.X_GPbot_49_14
50,0.6286617544120955,0.806002848614825,506.26666666666665,568,sampleex.X_GPbot_50_25
51,0.6404128859896342,0.8405314822733979,485.0,426,sampleex.X_GPbot_51_9
52,0.6526243390848003,0.7781756990522045,504.8666666666667,451,sampleex.X_GPbot_52_4
53,0.6189314003346847,0.8053210688835132,491.8666666666667,503,sampleex.X_GPbot_53_1
54,0.6265656113318332,0.8021209008820103,485.8666666666667,420,sampleex.X_GPbot_54_4
55,0.6037933875234113,0.8151977426878584,499.53333333333336,430,sampleex.X_GPbot_55_9
56,0.5662735310972234,0.8307039249046793,478.76666666666665,430,sampleex.X_GPbot_56_0
57,0.5485196198361759,0.8000405406490655,451.3666666666667,386,sampleex.X_GPbot_57_21
58,0.629843975362952,0.7828841631806306,454.1666666666667,503,sampleex.X_GPbot_58_18
59,0.6376024635162943,0.7876122939376974,445.76666666666665,446,sampleex.X_GPbot_59_29
60,0.6234324111554489,0.78618991152014,467.6666666666667,446,sampleex.X_GPbot_60_0
61,0.6439492571239278,0.7907024626477638,462.46666666666664,500,sampleex.X_GPbot_61_19
62,0.6271707261216444,0.8020494841716702,476.26666666666665,498,sampleex.X_GPbot_62_17
63,0.603179579249863,0.799867240261182,470.1666666666667,503,sampleex.X_GPbot_63_1
64,0.6059268557265562,0.8232286400347344,490.76666666666665,544,sampleex.X_GPbot_64_25
65,0.5788009503900224,0.8320780824667562,485.8666666666667,452,sampleex.X_GPbot_65_20
66,0.6012663470527038,0.779438738275862,487.4,483,sampleex.X_GPbot_66_6
67,0.6167214149704116,0.8224953927028208,500.1666666666667,565,sampleex.X_GPbot_67_10
68,0.5742541058653174,0.8153175715955352,510.3,503,sampleex.X_GPbot_68_1
69,0.6338692406491221,0.7949486744387034,511.46666666666664,503,sampleex.X_GPbot_69_1
70,0.5633400001349322,0.7832874127654973,507.3,570,sampleex.X_GPbot_70_18
71,0.5883010611133979,0.7975831396768696,503.6333333333333,507,sampleex.X_GPbot_71_3
72,0.6056222047771331,0.8240594224008432,500.73333333333335,453,sampleex.X_GPbot_72_12
73,0.6237034494381622,0.7535494613815926,497.46666666666664,503,sampleex.X_GPbot_73_25
74,0.6337211127449457,0.8222640941427685,492.2,449,sampleex.X_GPbot_74_15
75,0.6616680521934099,0.7861848984777621,486.8666666666667,420,sampleex.X_GPbot_75_26
76,0.6314479319946311,0.8231067470493122,494.03333333333336,500,sampleex.X_GPbot_76_11
77,0.5758195455082328,0.7779898467364706,463.76666666666665,495,sampleex.X_GPbot_77_2
78,0.6028637712503244,0.794497561127176,482.8666666666667,495,sampleex.X_GPbot_78_18
79,0.6087385571975823,0.7937415516849513,460.0,495,sampleex.X_GPbot_79_24
80,0.651727750658766,0.809136476284899,482.43333333333334,492,sampleex.X_GPbot_80_16
81,0.6262770367659218,0.7877952424827425,492.9,495,sampleex.X_GPbot_81_8
82,0.6583209058966711,0.8331411417122309,489.8333333333333,497,sampleex.X_GPbot_82_22
83,0.6622721742363785,0.8110905991691224,511.46666666666664,497,sampleex.X_GPbot_83_27
84,0.6318839919709163,0.8010024026567383,485.3666666666667,503,sampleex.X_GPbot_84_1
85,0.6257269037413152,0.7929821097886774,486.8333333333333,461,sampleex.X_GPbot_85_10
