round,avgFit,bestFit,avgNode,bestNode,bestBotName
0,0.0780381111362145,0.353508069519375,622.6,520,sampleex.X_GPbot_0_15
1,0.259882457010406,0.5117760065714186,548.6,522,sampleex.X_GPbot_1_18
2,0.3895046305254929,0.5164350823947443,525.8333333333334,499,sampleex.X_GPbot_2_15
3,0.40337671021029536,0.5155803749339946,511.1,491,sampleex.X_GPbot_3_17
4,0.43826262349486045,0.5262890002536871,510.8666666666667,526,sampleex.X_GPbot_4_18
5,0.4368234573018504,0.5534789185705323,507.1,528,sampleex.X_GPbot_5_2
6,0.47253287866847954,0.5518114641710848,508.43333333333334,509,sampleex.X_GPbot_6_18
7,0.47122558979472373,0.6336381924253964,513.8333333333334,510,sampleex.X_GPbot_7_9
8,0.4773044638450624,0.5617912378188682,515.3,599,sampleex.X_GPbot_8_21
9,0.4753529553591891,0.5820456577291078,501.1666666666667,437,sampleex.X_GPbot_9_7
10,0.49242623017962805,0.6130157647154432,449.1666666666667,337,sampleex.X_GPbot_10_18
11,0.5130338369406823,0.61511794807878,419.2,337,sampleex.X_GPbot_11_15
12,0.5213580321038228,0.665027815634815,376.76666666666665,337,sampleex.X_GPbot_12_0
13,0.5209518263367572,0.7013538058629408,360.93333333333334,289,sampleex.X_GPbot_13_28
14,0.5535690149028153,0.695337462102168,321.03333333333336,320,sampleex.X_GPbot_14_25
15,0.5546460445098248,0.7461756540630448,316.43333333333334,275,sampleex.X_GPbot_15_12
16,0.6541170813678974,0.8334657519042329,303.3,275,sampleex.X_GPbot_16_0
17,0.7001739312017151,0.8026717920741366,274.2,279,sampleex.X_GPbot_17_16
18,0.7184527862329457,0.8131556828906725,272.3333333333333,275,sampleex.X_GPbot_18_5
19,0.6708924636456729,0.8343479506049266,273.7,276,sampleex.X_GPbot_19_25
20,0.6982106487603547,0.8450077177861042,269.73333333333335,278,sampleex.X_GPbot_20_28
21,0.7442063946000116,0.8395566686388158,274.5,262,sampleex.X_GPbot_21_24
22,0.7335152996571345,0.8372128923675315,273.8,266,sampleex.X_GPbot_22_13
23,0.7255394130616284,0.8311382006700438,269.1666666666667,240,sampleex.X_GPbot_23_4
24,0.7328612580360805,0.8200743712545662,274.2,256,sampleex.X_GPbot_24_2
25,0.7201133078075472,0.8478811993157285,266.73333333333335,256,sampleex.X_GPbot_25_17
26,0.7370937330161234,0.8472066639026686,265.96666666666664,270,sampleex.X_GPbot_26_20
27,0.7077537991696452,0.8465213840258111,267.0,256,sampleex.X_GPbot_27_5
28,0.7426414741890939,0.8740812816837288,267.76666666666665,256,sampleex.X_GPbot_28_6
29,0.7313070382996478,0.886049433438151,258.03333333333336,260,sampleex.X_GPbot_29_4
30,0.7151125154845619,0.8284723928889236,266.23333333333335,272,sampleex.X_GPbot_30_10
31,0.7384556308313772,0.856043285991094,278.76666666666665,322,sampleex.X_GPbot_31_8
32,0.7374728728326733,0.8381493177453928,283.93333333333334,259,sampleex.X_GPbot_32_5
33,0.7580907124829604,0.8411972023565523,277.6666666666667,260,sampleex.X_GPbot_33_2
34,0.7325148870292586,0.8746119638590955,283.6,288,sampleex.X_GPbot_34_20
35,0.7496394643420644,0.8804105357066193,274.8333333333333,291,sampleex.X_GPbot_35_6
36,0.7514732225416032,0.8420379783578834,267.3666666666667,243,sampleex.X_GPbot_36_26
37,0.7142353636264634,0.8525103090575424,268.8,243,sampleex.X_GPbot_37_0
